food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.0,321.5,144.18,16.39,0.0,14.2,11.5,1.04,3.12,13.95,0.02,0.01,0.11,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.86,0.0,0.01,0.01,0.04,0.0,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.0,676.75,303.5,34.5,0.0,29.9,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0.0,0.0,0.0,0.09,0.0,0.05,0.0,0.0,0.0,0.0,1.8,0.01,0.03,0.02,0.09,0.01,0.51,1.8,0.5,50.0
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.0,451.17,202.33,23.0,0.0,20.87,18.19,3.63,4.92,44.5,0.06,0.01,0.22,0.0,0.02,0.0,0.06,0.0,0.04,0.0,0.0,0.03,0.0,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.2,16.44,2.88,3.36,16.27,0.0,2030.25,910.5,103.5,0.0,93.9,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0.0,0.07,0.0,0.29,0.0,0.17,0.0,0.0,0.13,0.0,5.6,0.02,0.09,0.8,0.25,0.03,3.49,5.6,1.51,150.0
ASC003,Espreso coffee,asc_manual,217.0,51.54,6.62,1.75,2.14,6.53,0.0,1291.67,580.16,66.21,0.0,58.1,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.0,0.03,0.0,0.19,0.0,0.11,0.0,0.0,0.05,0.0,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,343.94,81.7,10.49,2.77,3.39,10.36,0.0,2047.3,919.55,104.95,0.0,92.1,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0.0,0.05,0.0,0.3,0.0,0.17,0.0,0.0,0.09,0.0,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51,150.0
ASC004,Iced tea,asc_manual,44.09,10.34,2.7,0.03,0.01,2.7,0.0,5.47,0.0,5.47,0.0,1.18,0.58,0.39,0.23,5.22,0.02,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.0,0.01,0.4,1.86,0.22,tall glass,141.09,33.1,8.64,0.09,0.04,8.64,0.0,17.5,0.0,17.5,0.0,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,1.28,0.01,0.0,0.02,0.02,0.01,0.02,1.28,5.95,0.7
ASC008,Lemonade,asc_manual,88.66,20.8,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.3,0.0,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.47,0.0,0.6,0.0,0.0,0.01,0.01,0.0,0.01,0.6,1.51,53.7,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0.0,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0.0,0.01,0.01,0.04,0.0,0.0,0.03,0.0,1.64,0.0,2.11,0.0,0.0,0.02,0.02,0.01,0.02,2.11,5.27,187.53
ASC009,Lem-o-gin,asc_manual,91.63,21.52,5.55,0.08,0.03,5.38,0.13,9.41,1.47,13.2,0.0,2.2,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.0,0.08,0.0,0.02,0.0,0.01,0.1,0.0,1.0,0.0,0.82,0.0,0.0,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,326.9,76.76,19.81,0.29,0.1,19.21,0.46,33.58,5.23,47.1,0.0,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0.0,0.3,0.01,0.07,0.0,0.03,0.34,0.0,3.56,0.0,2.92,0.01,0.01,0.05,0.04,0.02,0.1,2.92,5.68,212.2
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.23,9.09,1.86,0.17,0.11,1.46,0.46,14.5,40.04,33.53,0.0,10.84,4.47,5.28,189.6,32.15,0.32,0.02,0.13,0.0,0.23,0.02,0.04,0.0,0.01,0.57,0.0,1.77,0.0,0.93,0.01,0.0,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,129.54,30.8,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0.0,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0.0,0.05,1.94,0.0,5.99,0.0,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61,217.2
ASC014,Hot cocoa,asc_manual,378.24,90.1,9.23,3.36,4.56,9.01,0.0,2752.15,1257.17,139.48,0.0,113.66,101.41,16.05,24.2,132.15,0.31,0.09,0.9,0.0,0.01,0.0,0.42,0.0,0.22,0.0,0.0,0.02,0.0,7.22,0.03,0.1,0.1,0.32,0.04,1.87,7.22,1.89,189.11,cup,722.43,172.09,17.64,6.42,8.72,17.2,0.0,5256.6,2401.2,266.4,0.0,217.1,193.69,30.66,46.23,252.4,0.6,0.18,1.71,0.01,0.02,0.0,0.81,0.0,0.42,0.0,0.0,0.05,0.0,13.79,0.06,0.2,0.19,0.61,0.07,3.56,13.79,3.62,361.2
ASC022,Lassi (salted),asc_manual,79.43,18.84,1.86,1.35,0.72,1.84,0.02,451.64,191.6,26.17,2.6,47.78,40.39,4.84,65.4,67.37,0.04,0.0,0.47,0.0,0.0,0.0,0.17,6.62,0.01,0.01,0.0,0.09,0.0,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29,tall glass,336.18,79.76,7.86,5.73,3.04,7.8,0.08,1911.55,810.95,110.78,11.0,202.24,170.96,20.49,276.81,285.16,0.15,0.0,2.01,0.0,0.01,0.01,0.71,28.0,0.05,0.03,0.0,0.37,0.0,18.07,0.06,0.27,0.21,0.5,0.1,2.6,18.07,1.02,22.38
ASC023,Cheese and chilli sandwich ,asc_manual,916.65,218.11,27.4,6.8,9.78,2.38,2.08,5276.39,2277.0,351.37,23.05,113.79,89.98,18.86,437.5,142.31,0.99,0.1,4.57,0.0,0.32,0.02,0.56,97.4,0.25,0.24,0.0,5.85,0.0,28.95,0.14,0.09,1.0,0.1,0.07,1.77,28.95,22.06,518.11,triangle,511.04,121.6,15.28,3.79,5.45,1.33,1.16,2941.59,1269.43,195.89,12.85,63.44,50.16,10.51,243.91,79.34,0.55,0.05,2.55,0.0,0.18,0.01,0.31,54.3,0.14,0.13,0.0,3.26,0.0,16.14,0.08,0.05,0.56,0.05,0.04,0.99,16.14,12.3,288.85
