food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.0,321.5,144.18,16.39,0.0,14.2,11.5,1.04,3.12,13.95,0.02,0.01,0.11,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.86,0.0,0.01,0.01,0.04,0.0,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.0,676.75,303.5,34.5,0.0,29.9,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0.0,0.0,0.0,0.09,0.0,0.05,0.0,0.0,0.0,0.0,1.8,0.01,0.03,0.02,0.09,0.01,0.51,1.8,0.5,50.0
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.0,451.17,202.33,23.0,0.0,20.87,18.19,3.63,4.92,44.5,0.06,0.01,0.22,0.0,0.02,0.0,0.06,0.0,0.04,0.0,0.0,0.03,0.0,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.2,16.44,2.88,3.36,16.27,0.0,2030.25,910.5,103.5,0.0,93.9,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0.0,0.07,0.0,0.29,0.0,0.17,0.0,0.0,0.13,0.0,5.6,0.02,0.09,0.8,0.25,0.03,3.49,5.6,1.51,150.0
ASC003,Espreso coffee,asc_manual,217.0,51.54,6.62,1.75,2.14,6.53,0.0,1291.67,580.16,66.21,0.0,58.1,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.0,0.03,0.0,0.19,0.0,0.11,0.0,0.0,0.05,0.0,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,343.94,81.7,10.49,2.77,3.39,10.36,0.0,2047.3,919.55,104.95,0.0,92.1,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0.0,0.05,0.0,0.3,0.0,0.17,0.0,0.0,0.09,0.0,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51,150.0
ASC004,Iced tea,asc_manual,44.09,10.34,2.7,0.03,0.01,2.7,0.0,5.47,0.0,5.47,0.0,1.18,0.58,0.39,0.23,5.22,0.02,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.0,0.01,0.4,1.86,0.22,tall glass,141.09,33.1,8.64,0.09,0.04,8.64,0.0,17.5,0.0,17.5,0.0,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,1.28,0.01,0.0,0.02,0.02,0.01,0.02,1.28,5.95,0.7
ASC006,Fruit Punch (with fresh juices),asc_manual,153.89,36.12,9.38,0.14,0.03,9.25,0.06,6.21,1.3,10.08,0.0,5.07,10.24,3.2,2.63,33.43,0.1,0.01,0.03,0.0,0.13,0.0,0.02,0.0,0.05,0.05,0.0,0.56,0.0,4.51,0.02,0.0,0.04,0.04,0.01,0.15,4.51,7.61,45.53,tall glass,837.66,196.6,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,0.0,27.59,55.75,17.4,14.33,181.99,0.56,0.05,0.17,0.0,0.69,0.02,0.12,0.0,0.25,0.27,0.0,3.06,0.0,24.57,0.09,0.02,0.22,0.24,0.08,0.83,24.57,41.44,247.86
ASC007,Fruit Punch (with squashes),asc_manual,98.22,23.13,5.99,0.07,0.02,5.88,0.17,5.23,1.63,7.07,0.0,3.3,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.0,0.08,0.0,0.01,0.0,0.03,0.05,0.0,0.65,0.0,1.82,0.0,0.0,0.02,0.02,0.01,0.08,1.82,3.0,55.69,tall glass,493.91,116.3,30.12,0.36,0.08,29.58,0.85,26.3,8.2,35.57,0.0,16.6,46.59,9.48,11.35,83.72,0.31,0.04,0.18,0.0,0.41,0.01,0.06,0.0,0.14,0.27,0.0,3.28,0.0,9.13,0.02,0.01,0.09,0.08,0.04,0.39,9.13,15.08,280.01
ASC008,Lemonade,asc_manual,88.66,20.8,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.3,0.0,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.47,0.0,0.6,0.0,0.0,0.01,0.01,0.0,0.01,0.6,1.51,53.7,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0.0,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0.0,0.01,0.01,0.04,0.0,0.0,0.03,0.0,1.64,0.0,2.11,0.0,0.0,0.02,0.02,0.01,0.02,2.11,5.27,187.53
ASC009,Lem-o-gin,asc_manual,91.63,21.52,5.55,0.08,0.03,5.38,0.13,9.41,1.47,13.2,0.0,2.2,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.0,0.08,0.0,0.02,0.0,0.01,0.1,0.0,1.0,0.0,0.82,0.0,0.0,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,326.9,76.76,19.81,0.29,0.1,19.21,0.46,33.58,5.23,47.1,0.0,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0.0,0.3,0.01,0.07,0.0,0.03,0.34,0.0,3.56,0.0,2.92,0.01,0.01,0.05,0.04,0.02,0.1,2.92,5.68,212.2
ASC011,Coco pine cooler,asc_manual,138.47,32.75,5.72,0.56,1.0,5.52,0.26,627.31,248.96,41.5,3.4,17.81,13.47,6.59,23.2,66.65,0.13,0.01,0.31,0.0,0.13,0.0,0.07,10.53,0.07,0.07,0.0,0.84,0.0,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92,2.47,96.55,tall glass,598.48,141.54,24.71,2.4,4.32,23.87,1.11,2711.24,1076.01,179.36,14.7,76.98,58.21,28.49,100.25,288.06,0.54,0.06,1.32,0.0,0.58,0.02,0.3,45.5,0.29,0.29,0.0,3.65,0.0,12.64,0.11,0.19,0.24,0.62,0.08,1.26,12.64,10.67,417.3
ASC012,Summer cooler,asc_manual,95.22,22.43,5.43,0.37,0.04,5.21,0.2,10.71,1.87,16.85,0.0,8.13,11.46,7.62,1.57,93.06,0.28,0.01,0.17,0.0,0.16,0.0,0.04,0.0,0.15,0.14,0.0,2.31,0.0,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92,20.92,219.75,tall glass,471.0,110.95,26.87,1.85,0.18,25.78,0.97,52.99,9.27,83.33,0.0,40.22,56.67,37.71,7.78,460.35,1.37,0.04,0.83,0.0,0.78,0.02,0.21,0.0,0.76,0.69,0.0,11.43,0.0,63.89,0.17,0.06,0.53,0.61,0.14,2.25,63.89,103.5,1087.0
